ENST00000000233	P84085	ARF5_HUMAN
ENST00000000412	P20645	MPRD_HUMAN
ENST00000000442	P11474	ERR1_HUMAN
ENST00000001008	Q02790	FKBP4_HUMAN
ENST00000001146	Q9NR63	CP26B_HUMAN
ENST00000002125	Q7L592	NDUF7_HUMAN
ENST00000002165	Q9BTY2	FUCO2_HUMAN
ENST00000002501	Q9H9R9	DBND1_HUMAN
ENST00000002596	O14792	HS3S1_HUMAN
ENST00000003084	P13569	CFTR_HUMAN
ENST00000003100	Q16850	CP51A_HUMAN
ENST00000003302	Q96RU2	UBP28_HUMAN
ENST00000004982	O14558	HSPB6_HUMAN
ENST00000005178	Q16654	PDK4_HUMAN
ENST00000005257	P11233	RALA_HUMAN
ENST00000005259	Q9UHQ4	BAP29_HUMAN
ENST00000005260	Q9UHR4	BI2L1_HUMAN
ENST00000005284	O60359	CCG3_HUMAN
ENST00000005286	Q24JP5	T132A_HUMAN
ENST00000005340	O14641	DVL2_HUMAN
ENST00000005386	Q9H6T3	RPAP3_HUMAN
ENST00000005756	O95045	UPP2_HUMAN
ENST00000005995	Q9Y6M0	TEST_HUMAN
ENST00000006015	P31270	HXA11_HUMAN
ENST00000006053	P78423	X3CL1_HUMAN
ENST00000006724	Q14002	CEAM7_HUMAN
ENST00000006750	P40259	CD79B_HUMAN
ENST00000006777	Q6NTF9	RHBD2_HUMAN
ENST00000007264	Q9UJJ7	RUSD1_HUMAN
ENST00000007390	Q9UJK0	TSR3_HUMAN
ENST00000007516	O14561	ACPM_HUMAN
ENST00000007699	Q9Y2T7	YBOX2_HUMAN
ENST00000007735	O76009	KT33A_HUMAN
ENST00000007969	Q53EV4	LRC23_HUMAN
ENST00000008391	Q7Z6R9	AP2D_HUMAN
ENST00000008527	Q16526	CRY1_HUMAN
ENST00000008938	O75594	PGRP1_HUMAN
ENST00000009041	O95772	STR3N_HUMAN
ENST00000009530	P04233	HG2A_HUMAN
ENST00000010404	P10620	MGST1_HUMAN
ENST00000011292	P15085	CBPA1_HUMAN
ENST00000011473	Q16563	SYPL1_HUMAN
ENST00000011619	Q96S59	RANB9_HUMAN
ENST00000011653	P01730	CD4_HUMAN
ENST00000011684	Q3KR16	PKHG6_HUMAN
ENST00000012443	P53041	PPP5_HUMAN
ENST00000013070	Q8N806	UBR7_HUMAN
ENST00000013125	Q9Y4K4	M4K5_HUMAN
ENST00000013222	O95050	INMT_HUMAN
ENST00000014914	Q8NFJ5	RAI3_HUMAN
ENST00000014930	Q9NRV9	HEBP1_HUMAN
ENST00000016171	Q7KZN9	COX15_HUMAN
ENST00000016913	Q9NXJ0	M4A12_HUMAN
ENST00000016946	Q99666	RGPD5_HUMAN
ENST00000017003	Q9H1B5	XYLT2_HUMAN
ENST00000019103	P47872	SCTR_HUMAN
ENST00000019317	Q15311	RBP1_HUMAN
ENST00000020926	Q7L8C5	SYT13_HUMAN
ENST00000020945	O43623	SNAI2_HUMAN
ENST00000022615	Q9Y277	VDAC3_HUMAN
ENST00000023064	P82251	BAT1_HUMAN
ENST00000024061	Q5BKX6	S45A4_HUMAN
ENST00000025008	Q8TDY2	RBCC1_HUMAN
ENST00000025301	Q9UKA4	AKA11_HUMAN
ENST00000029410	Q9UBV7	B4GT7_HUMAN
ENST00000033079	Q9NYF5	FA13B_HUMAN
ENST00000034275	Q9H6Z4	RANB3_HUMAN
ENST00000035307	Q9P2E5	CHPF2_HUMAN
ENST00000037243	P60520	GBRL2_HUMAN
ENST00000037502	Q99972	MYOC_HUMAN
ENST00000037869	Q96C01	F136A_HUMAN
ENST00000038176	Q92636	FAN_HUMAN
ENST00000039007	P00480	OTC_HUMAN
ENST00000039989	Q96AE7	TTC17_HUMAN
ENST00000040584	P31273	HXC8_HUMAN
ENST00000040663	Q9BV20	MTNA_HUMAN
ENST00000040738	Q8NFC6	BD1L1_HUMAN
ENST00000040877	Q13395	TARB1_HUMAN
ENST00000043402	Q9BZR6	RTN4R_HUMAN
ENST00000044462	P25789	PSA4_HUMAN
ENST00000045083	Q96MK2	RIPR3_HUMAN
ENST00000046087	Q9BS86	ZPBP1_HUMAN
ENST00000046640	O60931	CTNS_HUMAN
ENST00000046794	Q13094	LCP2_HUMAN
ENST00000052754	P07585	PGS2_HUMAN
ENST00000053243	Q02223	TNR17_HUMAN
ENST00000053468	P82664	RT10_HUMAN
ENST00000053867	P28799	GRN_HUMAN
ENST00000054650	Q8WTV1	THAP3_HUMAN
ENST00000054666	Q15836	VAMP3_HUMAN
ENST00000054950	Q15293	RCN1_HUMAN
ENST00000055077	P35250	RFC2_HUMAN
ENST00000055335	Q6ZSY5	PPR3F_HUMAN
ENST00000055682	Q5QGS0	NEXMI_HUMAN
ENST00000056217	Q12774	ARHG5_HUMAN
ENST00000056233	Q9Y4A8	NF2L3_HUMAN
ENST00000060969	Q9BRV8	SIKE1_HUMAN
ENST00000061240	O43897	TLL1_HUMAN
ENST00000064571	Q9NTU7	CBLN4_HUMAN
ENST00000064724	O75508	CLD11_HUMAN
ENST00000064780	Q969Z4	TR19L_HUMAN
ENST00000072516	Q9NPH3	IL1AP_HUMAN
ENST00000072644	Q9Y548	YIPF1_HUMAN
ENST00000072869	Q7Z695	ADCK2_HUMAN
ENST00000075120	P11169	GTR3_HUMAN
ENST00000075503	Q6J9G0	STYK1_HUMAN
ENST00000078429	P29992	GNA11_HUMAN
ENST00000078445	Q68CJ9	CR3L3_HUMAN
ENST00000081029	P82673	RT35_HUMAN
ENST00000083182	Q92624	APBP2_HUMAN
ENST00000084798	O75493	CAH11_HUMAN
ENST00000085219	P20273	CD22_HUMAN
ENST00000086933	O15499	GSC2_HUMAN
ENST00000155840	P51787	KCNQ1_HUMAN
